5,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
45,0.0
50,0.0
55,0.0
60,0.0
65,0.0
70,0.0
75,0.0
80,0.0
85,0.0
90,0.0
95,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.0
8000,0.0
9000,0.0
10000,0.0
20000,0.0
30000,0.0
40000,0.002
50000,0.008
60000,0.014
70000,0.012
80000,0.014
90000,0.02
100000,0.018
200000,0.04
300000,0.07
400000,0.1
500000,0.13
600000,0.19
700000,0.22
800000,0.23
900000,0.29
